is_preprint_DOI,preprint_publisher,preprint_type,preprint_created,preprint_created_year,published_DOI,diagnosis
10.31227/osf.io/wkfqu,Center for Open Science,posted-content,2019-12-18,2019,10.17605/osf.io/akgpe,DataCite - OSF
10.31237/osf.io/cn5fe,Center for Open Science,posted-content,2020-05-19,2020,10.17605/osf.io/am3z5,DataCite - OSF
10.31219/osf.io/6wurs,Center for Open Science,posted-content,2021-06-22,2021,10.17605/osf.io/aqcu8,DataCite - OSF
10.31237/osf.io/5evp7,Center for Open Science,posted-content,2021-04-07,2021,10.17605/osf.io/aqfjv,DataCite - OSF
10.31227/osf.io/y3c5k,Center for Open Science,posted-content,2019-07-01,2019,10.17605/osf.io/aqspb,DataCite - OSF
10.31227/osf.io/za8ns,Center for Open Science,posted-content,2019-07-28,2019,10.17605/osf.io/ar8kg,DataCite - OSF
10.31227/osf.io/ky3hn,Center for Open Science,posted-content,2019-10-10,2019,10.17605/osf.io/arjw5,DataCite - OSF
10.31237/osf.io/fjgsq,Center for Open Science,posted-content,2019-10-03,2019,10.17605/osf.io/au53g,DataCite - OSF
10.31227/osf.io/cpbjr,Center for Open Science,posted-content,2019-05-14,2019,10.17605/osf.io/aud2w,DataCite - OSF
10.31219/osf.io/6ypuw,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/av6jf,DataCite - OSF
10.31237/osf.io/nxd5t,Center for Open Science,posted-content,2021-04-12,2021,10.17605/osf.io/avwe5,DataCite - OSF
10.31227/osf.io/bju5m,Center for Open Science,posted-content,2019-05-13,2019,10.17605/osf.io/ax8ry,DataCite - OSF
10.31227/osf.io/xpdft,Center for Open Science,posted-content,2019-05-06,2019,10.17605/osf.io/ayd3e,DataCite - OSF
10.31237/osf.io/nakrq,Center for Open Science,posted-content,2021-04-09,2021,10.17605/osf.io/b2kjz,DataCite - OSF
10.31219/osf.io/8pgae,Center for Open Science,posted-content,2019-04-19,2019,10.17605/osf.io/b3akd,DataCite - OSF
10.31219/osf.io/ae3bs,Center for Open Science,posted-content,2019-09-23,2019,10.17605/osf.io/b3z5w,DataCite - OSF
10.31219/osf.io/xy53p,Center for Open Science,posted-content,2018-08-28,2018,10.17605/osf.io/b42e8,DataCite - OSF
10.31227/osf.io/9e62s,Center for Open Science,posted-content,2020-01-05,2020,10.17605/osf.io/b538e,DataCite - OSF
10.31227/osf.io/9yh52,Center for Open Science,posted-content,2019-12-22,2019,10.17605/osf.io/b5wt6,DataCite - OSF
10.31227/osf.io/b654q,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/b654q,DataCite - OSF
10.31237/osf.io/ctpka,Center for Open Science,posted-content,2021-01-29,2021,10.17605/osf.io/b6yvf,DataCite - OSF
10.31234/osf.io/zpjtv,Center for Open Science,posted-content,2019-05-09,2019,10.17605/osf.io/b7stn,DataCite - OSF
10.31219/osf.io/c3sv5,Center for Open Science,posted-content,2019-03-01,2019,10.17605/osf.io/b87dr,DataCite - OSF
10.31219/osf.io/b8w7j,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/b8w7j,DataCite - OSF
10.31237/osf.io/t4avk,Center for Open Science,posted-content,2021-06-15,2021,10.17605/osf.io/ba9dk,DataCite - OSF
10.31219/osf.io/kmcen,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/bakjh,DataCite - OSF
10.31227/osf.io/8vkdw,Center for Open Science,posted-content,2019-05-15,2019,10.17605/osf.io/bcdhr,DataCite - OSF
10.31227/osf.io/p483e,Center for Open Science,posted-content,2019-12-18,2019,10.17605/osf.io/bgm3w,DataCite - OSF
10.31227/osf.io/s64f5,Center for Open Science,posted-content,2019-05-17,2019,10.17605/osf.io/bgpx7,DataCite - OSF
10.31227/osf.io/n8hfr,Center for Open Science,posted-content,2019-10-08,2019,10.17605/osf.io/bgufs,DataCite - OSF
10.31227/osf.io/h96gs,Center for Open Science,posted-content,2019-09-12,2019,10.17605/osf.io/bhekv,DataCite - OSF
10.31227/osf.io/wqkxd,Center for Open Science,posted-content,2019-12-22,2019,10.17605/osf.io/bjscg,DataCite - OSF
10.31227/osf.io/hya43,Center for Open Science,posted-content,2019-09-06,2019,10.17605/osf.io/bjsyp,DataCite - OSF
10.31237/osf.io/cg5mw,Center for Open Science,posted-content,2021-05-02,2021,10.17605/osf.io/bkqyg,DataCite - OSF
10.31219/osf.io/h5rk7,Center for Open Science,posted-content,2019-02-23,2019,10.17605/osf.io/bkzuw,DataCite - OSF
10.31227/osf.io/umzhd,Center for Open Science,posted-content,2019-12-19,2019,10.17605/osf.io/bp3aq,DataCite - OSF
10.31237/osf.io/hycvs,Center for Open Science,posted-content,2021-03-31,2021,10.17605/osf.io/bqhsf,DataCite - OSF
10.31227/osf.io/4eh8g,Center for Open Science,posted-content,2019-05-10,2019,10.17605/osf.io/brcha,DataCite - OSF
10.31219/osf.io/zrv4n,Center for Open Science,posted-content,2019-04-30,2019,10.17605/osf.io/brfn9,DataCite - OSF
10.31227/osf.io/merjq,Center for Open Science,posted-content,2018-11-21,2018,10.17605/osf.io/brqyt,DataCite - OSF
10.31227/osf.io/p4nbt,Center for Open Science,posted-content,2018-11-21,2018,10.17605/osf.io/bs4vy,DataCite - OSF
10.31227/osf.io/4g2u3,Center for Open Science,posted-content,2019-01-03,2019,10.17605/osf.io/btxyw,DataCite - OSF
10.31219/osf.io/buh26,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/buh26,DataCite - OSF
10.31227/osf.io/4tkgh,Center for Open Science,posted-content,2019-12-23,2019,10.17605/osf.io/bv7u5,DataCite - OSF
10.31227/osf.io/stw6q,Center for Open Science,posted-content,2018-08-10,2018,10.17605/osf.io/bv8g7,DataCite - OSF
10.31227/osf.io/uhm9s,Center for Open Science,posted-content,2020-01-03,2020,10.17605/osf.io/bvsrm,DataCite - OSF
10.31237/osf.io/cns79,Center for Open Science,posted-content,2021-02-27,2021,10.17605/osf.io/bvup6,DataCite - OSF
10.31227/osf.io/cvxt3,Center for Open Science,posted-content,2019-05-15,2019,10.17605/osf.io/bx7za,DataCite - OSF
10.31227/osf.io/wdnbh,Center for Open Science,posted-content,2019-06-21,2019,10.17605/osf.io/bxerh,DataCite - OSF
10.31227/osf.io/h68xp,Center for Open Science,posted-content,2019-08-26,2019,10.17605/osf.io/bxvk8,DataCite - OSF
10.31237/osf.io/7xc8e,Center for Open Science,posted-content,2020-05-18,2020,10.17605/osf.io/byvgm,DataCite - OSF
10.31227/osf.io/wyv2f,Center for Open Science,posted-content,2019-12-19,2019,10.17605/osf.io/bzx6v,DataCite - OSF
10.31227/osf.io/fjswb,Center for Open Science,posted-content,2020-01-13,2020,10.17605/osf.io/c2q4f,DataCite - OSF
10.31227/osf.io/svued,Center for Open Science,posted-content,2020-01-16,2020,10.17605/osf.io/c32bs,DataCite - OSF
10.31237/osf.io/6gp5t,Center for Open Science,posted-content,2020-05-18,2020,10.17605/osf.io/c3nv8,DataCite - OSF
10.31227/osf.io/pr2h8,Center for Open Science,posted-content,2019-05-12,2019,10.17605/osf.io/c3rb7,DataCite - OSF
10.31227/osf.io/rmx8v,Center for Open Science,posted-content,2019-02-04,2019,10.17605/osf.io/c3vef,DataCite - OSF
10.31227/osf.io/rqvu7,Center for Open Science,posted-content,2020-01-14,2020,10.17605/osf.io/c3w2t,DataCite - OSF
10.31227/osf.io/3pb2q,Center for Open Science,posted-content,2020-01-16,2020,10.17605/osf.io/c5r6h,DataCite - OSF
10.31227/osf.io/d8649,Center for Open Science,posted-content,2019-02-19,2019,10.17605/osf.io/c6kdn,DataCite - OSF
10.31227/osf.io/6wvp3,Center for Open Science,posted-content,2020-01-16,2020,10.17605/osf.io/cer6w,DataCite - OSF
10.31227/osf.io/q87gd,Center for Open Science,posted-content,2020-01-14,2020,10.17605/osf.io/cj2b5,DataCite - OSF
10.31227/osf.io/gj7pb,Center for Open Science,posted-content,2019-09-09,2019,10.17605/osf.io/cj4q3,DataCite - OSF
10.31227/osf.io/cux7b,Center for Open Science,posted-content,2019-03-02,2019,10.17605/osf.io/cj4vk,DataCite - OSF
10.31237/osf.io/wntdm,Center for Open Science,posted-content,2018-08-28,2018,10.17605/osf.io/ck3d7,DataCite - OSF
10.31219/osf.io/etv6f,Center for Open Science,posted-content,2019-08-31,2019,10.17605/osf.io/ckupv,DataCite - OSF
10.31219/osf.io/5x3jr,Center for Open Science,posted-content,2021-06-02,2021,10.17605/osf.io/ckvu2,DataCite - OSF
10.31227/osf.io/zfe9y,Center for Open Science,posted-content,2019-08-20,2019,10.17605/osf.io/cn8p2,DataCite - OSF
10.31227/osf.io/tdvs5,Center for Open Science,posted-content,2019-07-03,2019,10.17605/osf.io/cnh5d,DataCite - OSF
10.31227/osf.io/7zsjf,Center for Open Science,posted-content,2020-01-15,2020,10.17605/osf.io/cq65k,DataCite - OSF
10.31227/osf.io/42g5z,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/cqknv,DataCite - OSF
10.31219/osf.io/g2hcr,Center for Open Science,posted-content,2020-01-08,2020,10.17605/osf.io/crz2q,DataCite - OSF
10.31219/osf.io/42xt3,Center for Open Science,posted-content,2019-10-03,2019,10.17605/osf.io/cs3rg,DataCite - OSF
10.31237/osf.io/2tfc7,Center for Open Science,posted-content,2021-03-06,2021,10.17605/osf.io/cspnb,DataCite - OSF
10.31227/osf.io/5nqdf,Center for Open Science,posted-content,2019-12-10,2019,10.17605/osf.io/ctq4k,DataCite - OSF
10.31219/osf.io/btnxr,Center for Open Science,posted-content,2019-02-17,2019,10.17605/osf.io/cu4mj,DataCite - OSF
10.31227/osf.io/jfdx9,Center for Open Science,posted-content,2019-05-13,2019,10.17605/osf.io/cu5p6,DataCite - OSF
10.31227/osf.io/uyc5n,Center for Open Science,posted-content,2019-12-14,2019,10.17605/osf.io/cv6b3,DataCite - OSF
10.31237/osf.io/2mau4,Center for Open Science,posted-content,2020-10-23,2020,10.17605/osf.io/cv6tk,DataCite - OSF
10.31237/osf.io/v6297,Center for Open Science,posted-content,2021-03-15,2021,10.17605/osf.io/cv8de,DataCite - OSF
10.31234/osf.io/452q6,Center for Open Science,posted-content,2020-03-29,2020,10.17605/osf.io/cvu5w,DataCite - OSF
10.31227/osf.io/6aj7h,Center for Open Science,posted-content,2019-06-26,2019,10.17605/osf.io/cwkzt,DataCite - OSF
10.31219/osf.io/jtv9d,Center for Open Science,posted-content,2020-07-03,2020,10.17605/osf.io/cwz53,DataCite - OSF
10.31227/osf.io/7mrgu,Center for Open Science,posted-content,2020-01-05,2020,10.17605/osf.io/cxh26,DataCite - OSF
10.31227/osf.io/6bzrg,Center for Open Science,posted-content,2020-01-13,2020,10.17605/osf.io/cxhvk,DataCite - OSF
10.31227/osf.io/hnryc,Center for Open Science,posted-content,2020-01-05,2020,10.17605/osf.io/cxvay,DataCite - OSF
10.31227/osf.io/feqmw,Center for Open Science,posted-content,2019-05-13,2019,10.17605/osf.io/cz56t,DataCite - OSF
10.31219/osf.io/cb7xa,Center for Open Science,posted-content,2020-10-18,2020,10.17605/osf.io/cz8s9,DataCite - OSF
10.31227/osf.io/brd5f,Center for Open Science,posted-content,2020-01-16,2020,10.17605/osf.io/czad4,DataCite - OSF
10.31227/osf.io/e29hk,Center for Open Science,posted-content,2019-12-20,2019,10.17605/osf.io/czhs8,DataCite - OSF
10.31227/osf.io/x8cfs,Center for Open Science,posted-content,2020-01-14,2020,10.17605/osf.io/d2thg,DataCite - OSF
10.31219/osf.io/tbh6c,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/d2ub6,DataCite - OSF
10.31237/osf.io/dfv6x,Center for Open Science,posted-content,2020-05-29,2020,10.17605/osf.io/d3bgx,DataCite - OSF
10.31227/osf.io/9r8cn,Center for Open Science,posted-content,2019-05-14,2019,10.17605/osf.io/d53pr,DataCite - OSF
10.31227/osf.io/xk7r8,Center for Open Science,posted-content,2019-12-28,2019,10.17605/osf.io/d64az,DataCite - OSF
10.31237/osf.io/n9w3k,Center for Open Science,posted-content,2020-12-24,2020,10.17605/osf.io/d6nc3,DataCite - OSF
10.31237/osf.io/3qnau,Center for Open Science,posted-content,2021-03-15,2021,10.17605/osf.io/d7gn3,DataCite - OSF
10.31227/osf.io/fskve,Center for Open Science,posted-content,2019-12-18,2019,10.17605/osf.io/d92t6,DataCite - OSF
10.31237/osf.io/grvpf,Center for Open Science,posted-content,2021-06-15,2021,10.17605/osf.io/d9efr,DataCite - OSF
10.31237/osf.io/2zsxr,Center for Open Science,posted-content,2021-04-07,2021,10.17605/osf.io/db59f,DataCite - OSF
10.31227/osf.io/zb7gr,Center for Open Science,posted-content,2020-01-02,2020,10.17605/osf.io/dcg6v,DataCite - OSF
10.31219/osf.io/vqdcy,Center for Open Science,posted-content,2021-01-08,2021,10.17605/osf.io/dhq8y,DataCite - OSF
10.31227/osf.io/v9ujt,Center for Open Science,posted-content,2019-02-19,2019,10.17605/osf.io/dj42x,DataCite - OSF
10.31227/osf.io/tmab4,Center for Open Science,posted-content,2019-05-14,2019,10.17605/osf.io/dj8fn,DataCite - OSF
10.31237/osf.io/kqvds,Center for Open Science,posted-content,2021-02-06,2021,10.17605/osf.io/djbzs,DataCite - OSF
10.31219/osf.io/djv8y,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/djv8y,DataCite - OSF
10.31219/osf.io/p28m5,Center for Open Science,posted-content,2019-04-19,2019,10.17605/osf.io/dkarn,DataCite - OSF
10.31227/osf.io/krbuz,Center for Open Science,posted-content,2019-01-19,2019,10.17605/osf.io/dnft5,DataCite - OSF
10.31237/osf.io/kwpqt,Center for Open Science,posted-content,2020-05-27,2020,10.17605/osf.io/dpn4u,DataCite - OSF
10.31227/osf.io/ghk4q,Center for Open Science,posted-content,2019-05-14,2019,10.17605/osf.io/dqtj5,DataCite - OSF
10.31227/osf.io/b4s79,Center for Open Science,posted-content,2020-01-05,2020,10.17605/osf.io/dsj5g,DataCite - OSF
10.31227/osf.io/pdzgs,Center for Open Science,posted-content,2020-01-01,2020,10.17605/osf.io/dt5pv,DataCite - OSF
10.31227/osf.io/wxsrg,Center for Open Science,posted-content,2018-08-06,2018,10.17605/osf.io/dtnjx,DataCite - OSF
10.31237/osf.io/43whn,Center for Open Science,posted-content,2020-10-23,2020,10.17605/osf.io/dtwkj,DataCite - OSF
10.31219/osf.io/vfwzr,Center for Open Science,posted-content,2020-04-10,2020,10.17605/osf.io/du8eg,DataCite - OSF
10.31227/osf.io/s7hdq,Center for Open Science,posted-content,2019-12-14,2019,10.17605/osf.io/dvzjg,DataCite - OSF
10.31227/osf.io/53skb,Center for Open Science,posted-content,2020-01-16,2020,10.17605/osf.io/dw2jh,DataCite - OSF
10.31237/osf.io/k2xdf,Center for Open Science,posted-content,2018-12-29,2018,10.17605/osf.io/dw5hr,DataCite - OSF
10.31227/osf.io/8t3jq,Center for Open Science,posted-content,2019-12-18,2019,10.17605/osf.io/dwjr7,DataCite - OSF
10.31227/osf.io/3zveh,Center for Open Science,posted-content,2020-01-02,2020,10.17605/osf.io/dxrew,DataCite - OSF
10.31227/osf.io/wsjcu,Center for Open Science,posted-content,2019-12-19,2019,10.17605/osf.io/dxzqw,DataCite - OSF
10.31219/osf.io/7m9c4,Center for Open Science,posted-content,2020-04-26,2020,10.17605/osf.io/dybk7,DataCite - OSF
10.31219/osf.io/8x5bf,Center for Open Science,posted-content,2018-08-21,2018,10.17605/osf.io/e2ahr,DataCite - OSF
10.31219/osf.io/xq9sv,Center for Open Science,posted-content,2018-07-30,2018,10.17605/osf.io/e2j3q,DataCite - OSF
10.31227/osf.io/7qzv5,Center for Open Science,posted-content,2019-12-18,2019,10.17605/osf.io/e2kqf,DataCite - OSF
10.31237/osf.io/dy57r,Center for Open Science,posted-content,2021-03-08,2021,10.17605/osf.io/e39ky,DataCite - OSF
10.31219/osf.io/awb6k,Center for Open Science,posted-content,2018-08-02,2018,10.17605/osf.io/e3kmn,DataCite - OSF
10.31236/osf.io/e3vs6,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/e3vs6,DataCite - OSF
10.31237/osf.io/wex8q,Center for Open Science,posted-content,2021-04-07,2021,10.17605/osf.io/e5gxy,DataCite - OSF
10.31237/osf.io/uwaex,Center for Open Science,posted-content,2020-10-23,2020,10.17605/osf.io/e5szq,DataCite - OSF
10.31227/osf.io/d7aj2,Center for Open Science,posted-content,2019-11-25,2019,10.17605/osf.io/e6rgs,DataCite - OSF
10.31227/osf.io/swmq3,Center for Open Science,posted-content,2019-05-27,2019,10.17605/osf.io/e8cpd,DataCite - OSF
10.31227/osf.io/tqj8c,Center for Open Science,posted-content,2019-11-04,2019,10.17605/osf.io/e8sw7,DataCite - OSF
10.31219/osf.io/crg5d,Center for Open Science,posted-content,2019-04-19,2019,10.17605/osf.io/e96ks,DataCite - OSF
10.31227/osf.io/nkjzt,Center for Open Science,posted-content,2019-07-27,2019,10.17605/osf.io/e9fdr,DataCite - OSF
10.31227/osf.io/h967c,Center for Open Science,posted-content,2019-01-30,2019,10.17605/osf.io/e9uyk,DataCite - OSF
10.31227/osf.io/d2zbm,Center for Open Science,posted-content,2019-11-19,2019,10.17605/osf.io/eb2v7,DataCite - OSF
10.31227/osf.io/ers4m,Center for Open Science,posted-content,2019-05-15,2019,10.17605/osf.io/eb4c9,DataCite - OSF
10.31227/osf.io/5p4hk,Center for Open Science,posted-content,2020-01-03,2020,10.17605/osf.io/ec28d,DataCite - OSF
10.31227/osf.io/ed4gm,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/ed4gm,DataCite - OSF
10.31227/osf.io/pxgrh,Center for Open Science,posted-content,2019-12-18,2019,10.17605/osf.io/eg4ns,DataCite - OSF
10.31227/osf.io/wjmyf,Center for Open Science,posted-content,2020-01-06,2020,10.17605/osf.io/egzf6,DataCite - OSF
10.31227/osf.io/7qby3,Center for Open Science,posted-content,2019-05-15,2019,10.17605/osf.io/ej9um,DataCite - OSF
10.31219/osf.io/dsh97,Center for Open Science,posted-content,2019-11-29,2019,10.17605/osf.io/ekhn7,DataCite - OSF
10.31227/osf.io/a5jxq,Center for Open Science,posted-content,2020-01-15,2020,10.17605/osf.io/en3sw,DataCite - OSF
10.31227/osf.io/v68ju,Center for Open Science,posted-content,2019-10-03,2019,10.17605/osf.io/epy2u,DataCite - OSF
10.31219/osf.io/67uf9,Center for Open Science,posted-content,2021-06-02,2021,10.17605/osf.io/eqngd,DataCite - OSF
10.31219/osf.io/tqx7g,Center for Open Science,posted-content,2019-05-18,2019,10.17605/osf.io/eqtfb,DataCite - OSF
10.31219/osf.io/8g3aq,Center for Open Science,posted-content,2021-02-01,2021,10.17605/osf.io/erjqx,DataCite - OSF
10.31237/osf.io/ga3ku,Center for Open Science,posted-content,2020-07-22,2020,10.17605/osf.io/es462,DataCite - OSF
10.31227/osf.io/bym6g,Center for Open Science,posted-content,2019-12-24,2019,10.17605/osf.io/esbrz,DataCite - OSF
10.31227/osf.io/sq83x,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/etyax,DataCite - OSF
10.31227/osf.io/wgf3e,Center for Open Science,posted-content,2020-01-22,2020,10.17605/osf.io/eu7wp,DataCite - OSF
10.31234/osf.io/pwuda,Center for Open Science,posted-content,2019-10-06,2019,10.17605/osf.io/eu9kn,DataCite - OSF
10.31237/osf.io/7m63a,Center for Open Science,posted-content,2020-10-28,2020,10.17605/osf.io/eumch,DataCite - OSF
10.31227/osf.io/8u6pn,Center for Open Science,posted-content,2019-02-28,2019,10.17605/osf.io/ev75d,DataCite - OSF
10.31219/osf.io/upj9w,Center for Open Science,posted-content,2020-03-25,2020,10.17605/osf.io/ev8hp,DataCite - OSF
10.31227/osf.io/j8yqa,Center for Open Science,posted-content,2019-05-14,2019,10.17605/osf.io/ewdj2,DataCite - OSF
10.31237/osf.io/fctur,Center for Open Science,posted-content,2021-03-15,2021,10.17605/osf.io/eyvws,DataCite - OSF
10.31237/osf.io/dp9r4,Center for Open Science,posted-content,2020-08-13,2020,10.17605/osf.io/ezvgh,DataCite - OSF
10.31219/osf.io/df2p9,Center for Open Science,posted-content,2019-04-19,2019,10.17605/osf.io/f347p,DataCite - OSF
10.31227/osf.io/psxga,Center for Open Science,posted-content,2019-12-11,2019,10.17605/osf.io/f349y,DataCite - OSF
10.31227/osf.io/m2tsr,Center for Open Science,posted-content,2020-01-05,2020,10.17605/osf.io/f3hm7,DataCite - OSF
10.31237/osf.io/hxtej,Center for Open Science,posted-content,2021-04-17,2021,10.17605/osf.io/f4e83,DataCite - OSF
10.31237/osf.io/zem6s,Center for Open Science,posted-content,2021-06-09,2021,10.17605/osf.io/f4mtx,DataCite - OSF
10.31227/osf.io/gwmk2,Center for Open Science,posted-content,2019-05-18,2019,10.17605/osf.io/f4uyt,DataCite - OSF
10.31237/osf.io/adn5z,Center for Open Science,posted-content,2021-02-03,2021,10.17605/osf.io/f7k3u,DataCite - OSF
10.31227/osf.io/y347k,Center for Open Science,posted-content,2019-12-18,2019,10.17605/osf.io/f8c3w,DataCite - OSF
10.31227/osf.io/v4ehy,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/f9dsm,DataCite - OSF
10.31219/osf.io/t39fx,Center for Open Science,posted-content,2021-01-26,2021,10.17605/osf.io/f9xws,DataCite - OSF
10.31227/osf.io/2a9sp,Center for Open Science,posted-content,2019-10-04,2019,10.17605/osf.io/f9zqc,DataCite - OSF
10.31227/osf.io/4wsdk,Center for Open Science,posted-content,2019-07-11,2019,10.17605/osf.io/fauzx,DataCite - OSF
10.31227/osf.io/95wqd,Center for Open Science,posted-content,2019-05-15,2019,10.17605/osf.io/fbgtk,DataCite - OSF
10.31227/osf.io/q5p4x,Center for Open Science,posted-content,2019-07-25,2019,10.17605/osf.io/fbjh9,DataCite - OSF
10.31227/osf.io/38n5b,Center for Open Science,posted-content,2019-08-09,2019,10.17605/osf.io/fbnz7,DataCite - OSF
10.31237/osf.io/5jtnw,Center for Open Science,posted-content,2020-11-12,2020,10.17605/osf.io/fc7eg,DataCite - OSF
10.31227/osf.io/k9hwx,Center for Open Science,posted-content,2019-11-25,2019,10.17605/osf.io/fcjm3,DataCite - OSF
10.31237/osf.io/xjwdp,Center for Open Science,posted-content,2021-04-27,2021,10.17605/osf.io/fcruy,DataCite - OSF
10.31227/osf.io/fx3d2,Center for Open Science,posted-content,2018-07-29,2018,10.17605/osf.io/fd6e4,DataCite - OSF
10.31227/osf.io/jxy5k,Center for Open Science,posted-content,2020-01-14,2020,10.17605/osf.io/fdj9c,DataCite - OSF
10.31227/osf.io/us867,Center for Open Science,posted-content,2020-01-03,2020,10.17605/osf.io/fe4pz,DataCite - OSF
10.31227/osf.io/56zpu,Center for Open Science,posted-content,2020-01-03,2020,10.17605/osf.io/fevtu,DataCite - OSF
10.31227/osf.io/7k8rt,Center for Open Science,posted-content,2019-11-25,2019,10.17605/osf.io/fex3k,DataCite - OSF
10.31219/osf.io/59dva,Center for Open Science,posted-content,2021-04-07,2021,10.17605/osf.io/fj6dz,DataCite - OSF
10.31227/osf.io/dkxga,Center for Open Science,posted-content,2019-12-19,2019,10.17605/osf.io/fk9jb,DataCite - OSF
10.31237/osf.io/ejua8,Center for Open Science,posted-content,2020-05-18,2020,10.17605/osf.io/fmunp,DataCite - OSF
10.31227/osf.io/9jcn2,Center for Open Science,posted-content,2020-01-03,2020,10.17605/osf.io/fn5ma,DataCite - OSF
10.31235/osf.io/j3azw,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/fn8cd,DataCite - OSF
10.31219/osf.io/6zdvx,Center for Open Science,posted-content,2021-01-05,2021,10.17605/osf.io/fnp5m,DataCite - OSF
10.31237/osf.io/vf2pt,Center for Open Science,posted-content,2020-10-23,2020,10.17605/osf.io/fnzdp,DataCite - OSF
10.31237/osf.io/knxwc,Center for Open Science,posted-content,2021-01-08,2021,10.17605/osf.io/fp6jv,DataCite - OSF
10.31219/osf.io/jq6k2,Center for Open Science,posted-content,2018-07-30,2018,10.17605/osf.io/fpwgv,DataCite - OSF
10.31227/osf.io/dnhsv,Center for Open Science,posted-content,2019-03-27,2019,10.17605/osf.io/fqdn7,DataCite - OSF
10.31219/osf.io/frjcd,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/frjcd,DataCite - OSF
10.31237/osf.io/ymq3s,Center for Open Science,posted-content,2020-11-26,2020,10.17605/osf.io/ftm9n,DataCite - OSF
10.31227/osf.io/4q7sm,Center for Open Science,posted-content,2020-01-11,2020,10.17605/osf.io/fwqad,DataCite - OSF
10.31227/osf.io/4a8gx,Center for Open Science,posted-content,2019-10-08,2019,10.17605/osf.io/fxhyg,DataCite - OSF
10.31227/osf.io/94br5,Center for Open Science,posted-content,2020-01-15,2020,10.17605/osf.io/fxpbj,DataCite - OSF
10.31227/osf.io/gcyhs,Center for Open Science,posted-content,2019-06-20,2019,10.17605/osf.io/fxteq,DataCite - OSF
10.31237/osf.io/j8y2m,Center for Open Science,posted-content,2021-05-08,2021,10.17605/osf.io/fzek8,DataCite - OSF
10.31227/osf.io/aw87n,Center for Open Science,posted-content,2019-12-19,2019,10.17605/osf.io/fzuja,DataCite - OSF
10.31219/osf.io/ms2tu,Center for Open Science,posted-content,2021-03-15,2021,10.17605/osf.io/g2mz4,DataCite - OSF
10.31219/osf.io/6enb4,Center for Open Science,posted-content,2020-11-28,2020,10.17605/osf.io/g2wqf,DataCite - OSF
10.31227/osf.io/g3xcw,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/g3xcw,DataCite - OSF
10.31227/osf.io/58vxu,Center for Open Science,posted-content,2020-01-02,2020,10.17605/osf.io/g49j3,DataCite - OSF
10.31227/osf.io/ms47p,Center for Open Science,posted-content,2020-01-16,2020,10.17605/osf.io/g4d7r,DataCite - OSF
10.31237/osf.io/2rvgx,Center for Open Science,posted-content,2020-05-23,2020,10.17605/osf.io/g4x6t,DataCite - OSF
10.31227/osf.io/x5ghz,Center for Open Science,posted-content,2020-01-15,2020,10.17605/osf.io/g6xkw,DataCite - OSF
10.31227/osf.io/ktdvw,Center for Open Science,posted-content,2019-12-22,2019,10.17605/osf.io/g6zkt,DataCite - OSF
10.31227/osf.io/bdcer,Center for Open Science,posted-content,2020-01-14,2020,10.17605/osf.io/g7tm6,DataCite - OSF
10.31227/osf.io/sq35z,Center for Open Science,posted-content,2019-12-15,2019,10.17605/osf.io/g83kq,DataCite - OSF
10.31237/osf.io/2jtsd,Center for Open Science,posted-content,2020-11-05,2020,10.17605/osf.io/g9c8e,DataCite - OSF
10.31227/osf.io/nte9q,Center for Open Science,posted-content,2020-01-04,2020,10.17605/osf.io/ga2qs,DataCite - OSF
10.31227/osf.io/ga8wx,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/ga8wx,DataCite - OSF
10.31227/osf.io/xntd4,Center for Open Science,posted-content,2020-01-03,2020,10.17605/osf.io/gb8se,DataCite - OSF
10.31227/osf.io/ja9u6,Center for Open Science,posted-content,2019-05-27,2019,10.17605/osf.io/gbf5q,DataCite - OSF
10.31227/osf.io/wpq28,Center for Open Science,posted-content,2019-05-18,2019,10.17605/osf.io/gcwud,DataCite - OSF
10.31227/osf.io/te3df,Center for Open Science,posted-content,2018-07-02,2018,10.17605/osf.io/gd698,DataCite - OSF
10.31227/osf.io/35a7g,Center for Open Science,posted-content,2018-11-21,2018,10.17605/osf.io/ge57t,DataCite - OSF
10.31237/osf.io/vn65y,Center for Open Science,posted-content,2021-01-13,2021,10.17605/osf.io/gf5ev,DataCite - OSF
10.31227/osf.io/6gny9,Center for Open Science,posted-content,2019-12-21,2019,10.17605/osf.io/gf9w4,DataCite - OSF
